PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
UREA 46PCT N PRILLED UREA 46%N PRILLED UREA 46PCT N PRILLED UREA 46PCT N PRILLED,BRIDGEWELL RESOURCES LLC.,BRIDGEWELL RESOURCES LLC,QINGDAO STARCO CHEMICAL,04/13/2014,172458,78390,Ningpo,"Tacoma, Washington",EVER UNION,China,N/M N/M N/M N/M,"12420 SE CARPENTER DRIVE CLACKAMAS,OR 97015 USA FAX #503-742-1198","CO.,LIMITED. 2 MINJIANG ROAD B-2403, QINGDAO 266071,P.R.CHINA",97015,3,TCLU4377773 BMOU3110596 MAGU4891726,42G0 42G0 42G0,78,PKG,78,X,EGLV140400260072, , ,0337E,EMCFNL7692 EMCFNL7682 EMCFNL7872,PANAMA, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,"TLR,MARGARET MOWERY","11855 N.E.GLENN WIDING DRIVE, PORTLAND OR 97220 P#503-257-6090 X343","QINGDAO, CHINA"
"'SHIPPER-S LOAD,COUNT & WEIGHT:' 01X40HC WITH 20 BUNDLES JAMBS T/E CLEAR FJ FLAT PRIMED AS PER, PO - 708309. 11/16 X 4-5/8 X 81-11/16 11/16 X 4-5/8 X 97-11/16 NCM: 44182000 FREIGHT COLLECT FREIGHT AS PER AGREEMENT RE: 14/0311317-001 SD: 2140237145/4 NET WEIGHT: 25.710,000",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,INDUSFLORA PROD. FLORESTAIS LTDA.,04/10/2014,56562,25710, ,"Miami, Florida",NYK CLARA, ,PO-708309,10200 SOUTHWEST GREENBURG ROAD TIGARD OR 97223-5510 USA PH. 503 - 872 3565 LEONARD GREER,"ROD. BR-282, KM 05 LAGES - SC - BRASIL. - CEP: 88506-600 PH: (0155049) 3221 2612 ELIANE",97223,1,TCNU9682843,45G0,20,BDL,0, ,HDMUBRWB1413707, , ,0727N,HMM059786,SINGAPORE, ,HDMU,HYUNDAI MERCHANT MARINE,SEOUL, , ,879 W 190TH ST 7TH FL,BRIDGEWELL RESOURCES LLC,10200 SOUTHWEST GREENBURG ROAD TIGARD OR 97223-5510 USA PH. 503 - 872 3565 LEONARD GREER,"NAVEGANTES, BRAZI"
"01 CONTAINER 40HC SAID TO CONTAIN 12 PACKAGES WITH 6.944 PIECES OF CLEAR KD TADA PINE FJ PRIMED MOULDINGS RECEIVED ON BOARD CONTRACT NR: PO-00707924 CLEAN ON BOARD FREIGHT PREPAID HTS # 4409.10.40.10 HS CODE: 440910 INCOTERM: CFR NCM: 4418200099 NALADI: 441820 THE SOLID WOOD PACKAGING MATERIALS IN THIS SHIPMENT ARE TOTALLY FREE FROM BARK AND APPARENTLY FREE FROM LIVE PLANT PEST THE REGULATED WOOD PACKING MATERIAL HAS BEEN TREATED IN ACCORDANCE WITH THEUSDA REQUIREMENTS R. E. NO.: 14 0283428-001 DDE: 2140214611 6 INVOICE: 050 14 NF: 0095236 NET WEIGHT.: 19.590,000 KGS CONTINUATION CONSIGNEE E-MAIL: TSANDBERG@BRIDGEWELLRES.COMCONTINUATION NOTIFY E-MAIL: JAN@RICHARD-MURRAY.COM ALSO NOTIFY: BRIDGEWELL RESOURCES LLC 10200 SW GREENBURG RD. PORTLAND, OR, 97223, U.S.A. ATTN: TIA SANDBERG PHONE: (800) 784-3545 FAX: (503) 238-2664 E-MAIL: TSANDBERG@BRIDGEWELLRES.COM",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ARAUPEL S A,04/09/2014,43098,19590, ,"Baltimore, Maryland",MIRAMARIN, ,ARAUPEL PO-00707924 BALTIMORE LJAT213000000DQ JAMBS T E FJ PRIMED S4S PACKAGES NBS 99 TO 110 { NCM -------------} DRYU9153209 1 44182000 {-NCM--------------},"10200 SW GREENBURG RD. PORTLAND, OR, 97223, U.S.A. ATTN: TIA SANDBERG PHONE: (800) 784-3545 FAX:(503) 23 TIGARD OR 97223 US","RUA GEN. CAMARA, 243 - 6O ANDAR 90010-230 - PORTO ALEGRE - RS - BRAZIL - PHONE: 55 51 3221-7344 FAX:55 51 3224-8022 CNPJ: 87102810 PORTO ALEGRE RS 90010230 BR",97223,1,DRYU9153209,4500,12,PCS,0, ,CHIWPGMAT4G00, , ,0410N,LT0916134,MALTA, ,CHIW,COMPANIA SUD AMERICANA DE VAPORES S A,VALPARAISO, , ,P O BOX 49 V,RICHARD MURRAY & SONS,"109 NORTH CONCEPTION ST. P.O. BOX MOBILE, AL 36601 U.S.A. ATTN: JAN RICHARD PHONE: (251) 415-7042 FAX:(251) 43 MOBILE AL 36602 US",NAVEGANTES (SANTA
LAMINATED FLOORING,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,KRONOFLOORING GMBH,04/09/2014,33616,15280,Bremerhaven,"Mobile, Alabama",MAERSK CAROLINA,Germany,NO MARKS,"C/O MERCHANTS TRANSFER 1201 PAPER MILL ROAD MOBILE, ALABAMA 36610 UNITED STATES",MUEHLBACHER STRASSE 1 01561 LAMPERTSWALDE GERMANY,36610,1,MSKU4070716, ,21,PKG,0, ,FMSWDE1452474,H,MAEU562767997,1407,GW0506130,UNITED STATES, ,FMSW,FMS SEAWAYS AG,OPFIKON ZURICH, , ,SAGEREISTRASSE 24 POSTFACH 8152 GLATTBRUGG, , , 
BOLT BOLT BOLT,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"HAIYAN JINDI FASTENER CO.,LTD",04/07/2014,120318,54690,Shanghai,"Mobile, Alabama",ZIM SHANGHAI,China,NO MARKS NO MARKS NO MARKS,INTERNATIONAL WOOD PRODUCTS DIVISIO 10200 SW GREENBURG RD SUITE 500 TIGARD OR USA,"NO 386 HAIBIN WEST ROAD,WUYUAN TOWN HAIYAN CHINA",10200,3,ZIMU1141949 ZIMU1430535 ZIMU1109021,2200 2200 2200,66,PKG,0, ,CITVC60402039A,H,ZIMUSNH4174635,46E,ZZCN48482 ZZCN48499 ZZCN48500,GREECE, ,CITV,CTS INTERNATIONAL TRANSPORTATION CO LTD,SHANGHAI, ,200003,20TH FL TIAN AN CENTRE #338, , ,"SHANGHAI, CHINA"
URUGUAYAN PINE KD BLANKS S2S,BRIDGEWELL RESOURCES, ,DANK S.A.,04/06/2014,52360,23800,Cartagena,"Oakland, California",SANTA RAFAELA,Colombia,PCS 3175,"10200 SW GREENBURG RD STE 500 TIGARD, OR 97223 US","JUAN PAULILIER 1671 MONTEVIDEO, UY", ,1,TRLU7499748, ,22,PKG,0,CM,SHKK858000110010,H,HLCUMVD140200526,03W09,4618,GERMANY, ,SHKK,SCHENKEROCEAN LIMITED,WANCHAI, , ,38 FL CHINA RESOURCES BLDG 26 HARBOUR RD, , ,MONTEVIDEO
URUGUAYAN PINE KD BLANKS S2S URUGUAYAN PINE KD BLANKS S2S,BRIDGEWELL RESOURCES, ,DANK S.A.,04/06/2014,103840,47200,Cartagena,"Oakland, California",SANTA RAFAELA,Colombia,O 10703 O 10699,"10200 SW GREENBURG RD STE 500 TIGARD, OR 97223 US","JUAN PAULILIER 1671 MONTEVIDEO, UY", ,2,HLXU6485826 GESU4776110,4510 4510,44,PKG,0,CM,SHKK858000110232,H,HLCUBU3140205843,03W09,HLD0027434 HLD0027344,GERMANY, ,SHKK,SCHENKEROCEAN LIMITED,WANCHAI, , ,38 FL CHINA RESOURCES BLDG 26 HARBOUR RD, , ,MONTEVIDEO
WHITE BIRCH PLYWOOD 20 CRATES WHITE BIRCH PLYWOOD SHIPPINGREFERENCE SO2133313/P12474 OCEAN FREIGHT COLLECT-PAYABLE BY BRIDGEWELL,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SUMEC INTERNATIONAL TECHNOLOGY,04/06/2014,57200,26000,Lien Yin Chiang,"Los Angeles, California",XIN FEI ZHOU,China,SU811716ZF-13 SU811716ZF-13 PO# 00703179 MADE IN CHINA SIZE ___MMX1220X2440 ____PCS/CRATE C/NO. 1-20,10200 SW GREENBURG RD SUITE 500 TIGARD OREGON 97223 U.S.A.,"CO.,LTD. 198 CHANGJIANG ROAD, NANJING,CHINA",97223,1,TCLU8589209,45G0,20,CRT,54,X,EGLV158400006870, , ,0078E,EMCAEZ1773,CHINA, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES LLCRICHARD MURRAY,109 NORTH CONCEPTION STREET MOBILE AL 36602 TEL 251-432-5549 EXT 19 FAX 251-432-2810 ATT: JENNIFER,"LIANYUNGANG, JIAN"
APPLE JUICE CONCENTRATE APPLE JUICE CONCENTRATE,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,GANSU TONGDA FRUIT JUICE &,04/04/2014,92506,42048,Pusan,"Seattle, Washington",HANJIN PARIS,South Korea,N M NO SWPM N M NO SWPM,". 12420 SE CARPENTER DRIVE, CLACKAMAS OR 97015","BEVERAGE CO.,LTD. LOUZI VILLAGE,HESHENG TOWN,NING COUNTRY,QINGYANG CITY,GANSU",97015,2,TEMU4331949 TEMU2197002,2CG0 2CG0,144,PKG,0, ,HJSCTATS31191500, , ,0126E,CH2093650 CH2093649,PANAMA, ,HJSC,HANJIN SHIPPING COMPANY LTD,PARAMUS,NJ,7652,80 EAST RT 4 SUITE 490,COLE INTERNATIONAL,"RICHMOND BC CANADA 5000 MILLER RD, RICHMOND, BC V7E 1B4 TEL 604-273-5161","QINGDAO,CHINA"
LUMBER,BRIDGEWELL RESOURCES LLC 10200 SW, ,MADEIRAS SALAMONI LTDA,04/01/2014,47740,21700, ,"Savannah, Georgia",MSC ILONA, ,SALAMONI,"GREENBURG ROAD. TIGARD, OR 97223 -USA","RODOVIA HONORINO MORO, 5520 BAIRRO SORGATTO CACADOR SC BRASIL",10200,1,XINU8116425,4CG0,20,PKG,48,CM,UCMISAFE01005158,H,ZIMUNVT1004640,10N,ZZZS717652,GERMANY, ,UCMI,UNITED CARGO MANAGEMENT INC,GARDENA,CA,90248,19401 SO MAIN ST - #202,BRIDGEWELL RESOURCES LLC 10200 SW,"GREENBURG ROAD. TIGARD, OR 97223 -USA",NAVEGANTES
BOLT BOLT BOLT,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"HAIYAN JINDI FASTENER CO.,LTD",03/31/2014,126408,57458,Shanghai,"Mobile, Alabama",ZIM PUSAN,China,NO MARKS NO MARKS NO MARKS,INTERNATIONAL WOOD PRODUCTS DIVISIO 10200 SW GREENBURG RD SUITE 500 TIGARD OREGON 97223 USA,"NO 386 HAIBIN WEST ROAD WUYUAN TOWN, HAIYAN ZHEJIANG CHINA",97223,3,CRSU1035414 ZIMU1382870 ZIMU2829941,2200 2200 2200,68,PKG,0, ,CITVC60402012A,H,ZIMUSNH4174470,40E,ZZCN56706 ZZCN04298 ZZCN10150,UNITED KINGDOM, ,CITV,CTS INTERNATIONAL TRANSPORTATION CO LTD,SHANGHAI, ,200003,20TH FL TIAN AN CENTRE #338, , ,"SHANGHAI, CHINA"
LAMINATED FLOORING LAMINATED FLOORING LAMINATED FLOORING LAMINATED FLOORING LAMINATED FLOORING LAMINATED FLOORING LAMINATED FLOORING CLICK GUARD LAMINATED FLOORING,BRIDGEWELL RESOURCES, ,KRONOFLOORING GMBH,03/30/2014,273240,124200,Bremerhaven,"Charleston, South Carolina",PHILADELPHIA EXPRESS,Germany,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,"C/O PANEL SERVICE 101 BAILEY ST., PH; +13367517300 MOCKSVILLE, NORTH CAROLINA 27028 UNITED STATES",MUEHLBACHER STRASSE 1 01561 LAMPERTSWALDE GERMANY,27028,8,ITAU2166436 SCZU7986740 HLXU1132940 CPSU1313358 HLXU2360733 HLXU2270650 GATU0736562 FSCU3908325,2210 2210 2210 2210 2210 2210 2210 2200,193,PKG,0, ,FMSWDE1452104,H,HLCUHAM140237196,12W11,GW0506172 GW0506222 GW0506224 GW0506171 GW0506177 GW0506195 GW0506170 GW0506174,UNITED STATES, ,FMSW,FMS SEAWAYS AG,OPFIKON ZURICH, , ,SAGEREISTRASSE 24 POSTFACH 8152 GLATTBRUGG, , , 
"URUGUAYAN PINE 34 PALLETS(S) WITH URUGUAYAN PINE K D BLANKS S2S PCS 14849 MBF 63.409 CBM 149.610 ORDER NR: 708023 708027 706064 'WOOD PACKING MATERIALS BEING USED ARE FREE OF BARK & APPARENTLY FREE FROMLIVE PLANT PEST' NCM N : 4407.10.00.90 'SHIPPERS LOAD, STOW AND COUNT' 'OWNERS RESPONSABILITY CEASESAT DISCHARGE PORT' URUGUAYAN PINE",BRIDGEWELL RESOURCES, ,DANK S.A.,03/30/2014,157960,71800,Montevideo,"Houston, Texas",E.R. BERLIN,Uruguay,N M N M N/M N/M N/M N/M N/M N/M N/M N/M N/M N/M N/M N/M N/M N/M N/M N M,10200 SW GREENBURG RD STE.500 TIGARD OREGON 97223,JUAN PAULLIER 1671 MONTEVIDEO MONTEVIDEO 11200,97223,3,NYKU4207037 NYKU4115521 NYKU5684034,45G1 45G1 45G1,34,PLT,1,CM,NYKS7370143650, , ,413S,ECSA146862 ECSA146907 ECSA117388,LIBERIA, ,NYKS,NYK LINE (NIPPON YUSEN KAISHA),TOKYO, , , ,BRIDGEWELL RESOURCES,10200 SW GREENBURG RD STE.500 TIGARD OREGON 97223,MONTEVIDEO
"13 PACKAGES WITH 7.528 PIECES OF CLEAR KD TADA PINE FJ PRIMED MOULDINGS RECEIVED ON BOARD CONTRACT NR: PO-00706887 FREIGHT PREPAID HTS # 4409.10.40.10 HS CODE: 440910 INCOTERM: CFR NCM: 4418200099 NALADI: 441820 THE SOLID WOOD PACKAGING MATERIALS IN THIS SHIPMENT ARE TOTALLY FREE FROM BARK AND APPARENTLY FREE FROM LIVE PLANT PEST THE REGULATED WOOD PACKING MATERIAL HAS BEEN TREATED IN ACCORDANCE WITH THE USDA REQUIREMENTS ITEMS INDICATED AS FSC MIX AREIN ACCORDANCE WITH THE FOLLOWING SPECIFICATIONS: PRODUCTS FSC - 2 ARE FROM WELL MANAGED FORESTS AND OTHER CONTROLLED SOURCES FSC MIX CREDIT RA-COC-001878 R. E. NO.: 14 0210200-001 DDE: 2140162406 5INVOICE: 1295 13 NET WEIGHT.: 18.580,000 KGS CONTINUATION CONSIGNEE E-MAIL: TSANDBERG@BRIDGEWELLRES.COM CONTINUATION NOTIFY E-MAIL: JAN@RICHARD-MURRAY.COM ALSO NOTIFY: BRIDGEWELL RESOURCES LLC 10200 SW GREENBURG RD.PORTLAND, OR, 97223, U.S.A. ATTN: TIA SANDBERG PHONE: (800) 784-3545 FAX: (503) 238-2664 E-MAIL: TSANDBERG@BRIDGEWELLRES.COM",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ARAUPEL S A,03/28/2014,40876,18580, ,"Baltimore, Maryland",MSC ILONA, ,ARAUPEL PO-00706887 BALTIMORE LJAT212370000DQ JAMBS T E FJ PRIMED S4S PACKAGES NBS 87 TO 92 LJAT212870000DQ JAMBS T E FJ PRIMED S4S FSC - 2 PACKAGES NBS 38 LJAT213000000DQ JAMBS T E FJ PRIMED S4S PACKAGES NBS 93 TO 98 { NCM -------------} GESU6409705 1 44182000 {-NCM--------------},"10200 SW GREENBURG RD. PORTLAND, OR, 97223, U.S.A. ATTN: TIA SANDBERG PHONE: (800) 784-3545 FAX:(503) 23 TIGARD OR 97223 US","RUA GEN. CAMARA, 243 - 6O ANDAR 90010-230 - PORTO ALEGRE - RS - BRAZIL - PHONE: 55 51 3221-7344 FAX:55 51 3224-8022 CNPJ: 87102810 PORTO ALEGRE RS 90010230 BR",97223,1,GESU6409705,4500,13,PCS,0, ,CHIWPGMARRY00, , ,0408N,LT0878846,GERMANY, ,CHIW,COMPANIA SUD AMERICANA DE VAPORES S A,VALPARAISO, , ,P O BOX 49 V,RICHARD MURRAY & SONS,"109 NORTH CONCEPTION ST. P.O. BOX MOBILE, AL 36601 U.S.A. ATTN: JAN RICHARD PHONE: (251) 415-7042 FAX:(251) 43 MOBILE AL 36602 US",NAVEGANTES (SANTA
"'SHIPPER-S LOAD, COUNT & SEAL' (78PKGS) CY / CY UREA N46% PRILLED FREIGHT COLLECT NON-NEGOTIABLE WAYBILL RELEASE PROCEDURE 'SHIPPER-S LOAD, COUNT & SEAL' (78PKGS) CY / CY UREA N46% PRILLED FREIGHT COLLECT NON-NEGOTIABLE WAYBILL RELEASE PROCEDURE 'SHIPPER-S LOAD, COUNT & SEAL' (78PKGS) CY / CY UREA N46% PRILLED FREIGHT COLLECT NON-NEGOTIABLE WAYBILL RELEASE PROCEDURE",BRIDGEWELL RESOURCES LLC.,BRIDGEWELL RESOURCES LLC,"QINGDAO STARCO CHEMICAL CO.,LIMITED",03/26/2014,172458,78390,Pusan,"Tacoma, Washington",HYUNDAI MERCURY,South Korea,N/M N/M N/M,"12420 SE CARPENTER DRIVE CLACKAMAS,OR 97015 USA FAX#503-742-1198","2 MINJIANG ROAD B-2403, QINGDAO 266071,P.R.CHINA",97015,3,HDMU4688634 DFSU4242346 TGHU5057351,42G0 42G0 42G0,78,PKG,0, ,HDMUQISE9340741, , ,0032E,HD3125249 HD3125146 HD3125206,LIBERIA, ,HDMU,HYUNDAI MERCHANT MARINE,SEOUL, , ,879 W 190TH ST 7TH FL,"TLR,MARGARET MOWERY 11855 N.E.GLENN","WIDING DRIVE,PORTLAND OR 97220 P#503-257-6090 X343","QINGDAO, CHINA"
"01 CONTAINER 40 HC S.L.A.C. 22 BUNDLES W ITH: MOLDED PINE WOOD FOR MOULDINGS SPLIT JAMBS PRIMED SHIPPED ON BOARD FREIGHT CO LLECT RE: 14/0184855-001 SD:2140150520/1 NCM:44189000 NW: 19.900,00 KGS EXPRESS RE LEASE",BRIDGEWELL RESOURCES, ,AERO COMERCIO DE PORTAS E BATENTES,03/25/2014,19900,9045,All Other Dominican Republic Ports,"New Orleans, Louisiana",MSC SANTHYA,Dominican Republic,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD. PORTLAND, OR 97223 - PH: 503872-3535 FX: 503 23 8-2664 97223 TSANDBERG@BRIDGEWELLR","LTDA RUA GOVERNADOR MANOEL RIBAS, C NPJ:11.847.182/0002-38 204 - 1- AND AR - SENGES - PARANA BRASIL - FONE",3872,1,CRSU9069452,4500,22,BDL,0,CF,ZIMUNVT1004565, , ,22W,ZZZS719397,PANAMA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD. PORTLAND, OR 97223 - PH: 503872-3535 FX: 503 23 8-2664 97223 TSANDBERG@BRIDGEWELLR",NAVEGANTES
"01X40- HC CONTAINING 20 BUNDLES WITH: MOLDED PINE WOOD FORMOULDINGS SPLIT JAMBS PRIMED,WM356 CSG PRIMED CLEAN ON BOARD SHIPPED ON BOARD FREIGHT COLLECT RE: 14/0223483-001 SD: 2140181882/0 NCM: 44189000 EXPRESS RELEASE",BRIDGEWELL RESOURCES, ,AERO COMERCIO DE PORTAS E BATENTES,03/24/2014,43780,19900, ,"Charleston, South Carolina",CSAV LONCOMILLA, ,NO MARKS CES CHARLESTON P.O-S.: 143404 70 8397,"10200 SW GREENBURG RD. PORTLAND, OR 97223 - PH: 503 PORTLAND, OR 97223 OR 97223 US",LTDA - CNPJ: 11.847.182/0002-3 1 ANDAR FONE: (43) 3567-832 PR 84220-000 BR,97223,1,HASU4254951,4510,20,PKG,0,CM,SUDU649107478039, , ,040N,BOLT4440778,HONG KONG, ,SUDU,HAMBURG SUED,HAMBURG, ,D-20415,WILLY-BRANDT-STRASSE 59-61 POSTFATCH 11 15,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD. 872-3535 - FX: 503 238-2664 PORTLAND, OR 97223 OR 97223 US",ITAPOA SC BR
URUGUAYAN PINE KD BLANKS S2S URUGUAYAN PINE KD BLANKS S2S,BRIDGEWELL RESOURCES, ,DANK S.A.,03/23/2014,104500,47500,Cartagena,"Oakland, California",HS COLON,Colombia,PCS 5711 PCS 5192,"10200 SW GREENBURG RD STE 500 TIGARD, OR 97223 US","JUAN PAULILIER 1671 MONTEVIDEO, UY", ,2,HLXU6073602 TCKU9586892,4510 4510,44,PKG,0,CM,SHKK858000109748,H,HLCUMVD140102282,02W07,HLD0027366 HLD0027365,LIBERIA, ,SHKK,SCHENKEROCEAN LIMITED,WANCHAI, , ,38 FL CHINA RESOURCES BLDG 26 HARBOUR RD, , ,MONTEVIDEO UY
"13 PACKAGES WITH 4.035 PIECES OF CLEAR KD TADA AND PARANA PINE FJ PRIMED MOULDINGS RECEIVED ON BOARD CONTRACT NR: PO-00706884 FREIGHT PREPAID HTS # 4409.10.40.10 HS CODE: 440910 INCOTERM: CFR NCM: 4418200099 NALADI: 441820 THE SOLID WOOD PACKAGING MATERIALS IN THIS SHIPMENT ARE TOTALLY FREE FROM BARK AND APPARENTLY FREE FROM LIVE PLANT PEST THE REGULATED WOOD PACKING MATERIAL HAS BEEN TREATED IN ACCORDANCE WITH THEUSDA REQUIREMENTS ITEMS INDICATED AS FSC 100% ARE IN ACCORDANCE WITH THE FOLLOWING SPECIFICATIONS PRODUCTS FSC - 1 ARE FROM FORESTS WITH FORESTRY MANAGMENT FSC-100% RA-COC-001878 ITEMS INDICATED AS FSC MIX ARE IN ACCORDANCE WITH THE FOLLOWING SPECIFICATIONSPRODUCTS FSC - 2 ARE FROM WELL MANAGED FORESTS AND OTHER CONTROLLED SOURCES FSC MIX CREDIT RA-COC-001878 R. E. NO.: 14 0190844-001 TO 002 DDE: 2140146788 1 INVOICE: 1294 13 NET WEIGHT.: 19.500,000 KGS CONTINUATION CONSIGNEEE-MAIL: TSANDBERG@BRIDGEWELLRES.COM CONTINUATION NOTIFY E-MAIL: JAN@RICHARD-MURRAY.COM ALSO NOTIFY: BRIDGEWELL RESOURCES LLC 10200 SW GREENBURG RD. PORTLAND, OR, 97223, U.S.A. ATTN: TIA SANDBERG PHONE: (800) 784-3545 FAX: (503) 238-2664E-MAIL: TSANDBERG@BRIDGEWELLRES.COM",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ARAUPEL S A,03/21/2014,42900,19500, ,"Baltimore, Maryland",MSC LUISA, ,ARAUPEL PO-00706884 BALTIMORE LJAT212870000DQ JAMBS T E FJ PRIMED S4S FSC - 2 PACKAGES NBS 39 LJAT674870000DP JAMBS T E FJ PRIMED PACKAGES NBS 73 TO 80 LJAT674870000DP JAMBS T E FJ PRIMED FSC - 1 PACKAGES NBS 81 TO 84 { NCM -------------} GESU5505469 1 44182000 {-NCM--------------},"10200 SW GREENBURG RD. PORTLAND, OR, 97223, U.S.A. ATTN: TIA SANDBERG PHONE: (800) 784-3545 FAX:(503) 23 TIGARD OR 97223 US","RUA GEN. CAMARA, 243 - 6O ANDAR 90010-230 - PORTO ALEGRE - RS - BRAZIL - PHONE: 55 51 3221-7344 FAX:55 51 3224-8022 CNPJ: 87102810 PORTO ALEGRE RS 90010230 BR",97223,1,GESU5505469,4500,13,PCS,0, ,CHIWPGMAQYW00, , ,0407N,LT0903050,PANAMA, ,CHIW,COMPANIA SUD AMERICANA DE VAPORES S A,VALPARAISO, , ,P O BOX 49 V,RICHARD MURRAY & SONS,"109 NORTH CONCEPTION ST. P.O. BOX MOBILE, AL 36601 U.S.A. ATTN: JAN RICHARD PHONE: (251) 415-7042 FAX:(251) 43 MOBILE AL 36602 US",NAVEGANTES (SANTA
RBD COCONUT OIL,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"SC GLOBAL COCO PRODUCTS, INC.",03/19/2014,42372,19260,Kaohsiung,"Los Angeles, California",E.R. SWEDEN,China Taiwan,NO MARKS,". 10200 SW GREENBURG RD, STE 500 TIGARD, OR 97223 USA TEL 503-872-",". NATIONAL HIGHWAY, BRGY. CARIDAD, BA YBAY CITY, LEYTE 6521 - PHILIPPINES",97223,1,BEAU2026995,2CG0,20,PKG,0, ,HJSCCEB400125500, , ,0003E,HC162348,LIBERIA, ,HJSC,HANJIN SHIPPING COMPANY LTD,PARAMUS,NJ,7652,80 EAST RT 4 SUITE 490,BRIDGEWELL RESOURCES,. FOOD & AG PRODUCTS DIVISION 12420 SE CARPENTER DR,CEBU
ORGANIC RBD COCONUT OIL,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"SC GLOBAL COCO PRODUCTS, INC.",03/19/2014,40260,18300,Kaohsiung,"Los Angeles, California",E.R. SWEDEN,China Taiwan,NO MARKS,". 10200 SW GREENBURG RD, STE 500 TIGARD, OR 97223 USA TEL 503-872-",". NATIONAL HIGHWAY, BRGY. CARIDAD, BA YBAY CITY, LEYTE 6521 - PHILIPPINES",97223,1,BMOU2978887,2CG0,20,PKG,0, ,HJSCCEB400136700, , ,0003E,HC443453,LIBERIA, ,HJSC,HANJIN SHIPPING COMPANY LTD,PARAMUS,NJ,7652,80 EAST RT 4 SUITE 490,BRIDGEWELL RESOURCES,. FOOD & AG PRODUCTS DIVISION 12420 SE CARPENTER DR,CEBU
"01X40- HC CONTAINING: 20 BUNDLES WITH: MOLDED PINE WOOD FORMOULDINGS SPLIT JAMBS RAW RE: 14/0196038-001 SD: 2140157920/5 NCM: 4418.9000 NW; 19.900,00 KGS CLEAN ON BOARD SHIPPED ON BOARD FREIGHT COLLECT",BRIDGEWELL RESOURCES, ,AERO COMERCIO DE PORTAS E BATENTES,03/17/2014,43780,19900, ,"Charleston, South Carolina",CAP JERVIS, ,NO MARKS CES CHARLESTON P.O-S.: 143409 70 8398,10200 SW GREENBURG RD.PORTLAND OR 97223 PH: 503 872-3535 OR 97223 PH: 503 87 OR 97223 US,LTDA - CNPJ: 11.847.182/0002-3 1 ANDAR FONE: (43) 3567-832 PR 84220-000 BR,97223,1,SUDU8572249,4510,20,PKG,0,CM,SUDU649107365034, , ,071N,BOLT4443563,LIBERIA, ,SUDU,HAMBURG SUED,HAMBURG, ,D-20415,WILLY-BRANDT-STRASSE 59-61 POSTFATCH 11 15,BRIDGEWELL RESOURCES,10200 SW GREENBURG RD.PORTLAND FX: 503 238-2664 OR 97223 PH: 503 87 OR 97223 US,ITAPOA SC BR
