PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,SHIPPER_CLEANED,YEAR,IMPORTER_CLEANED,IMPORTER_COUNTRY
PIECES ROUGH SAWN GREENHEART LUMBER 768 BOARDFEET,WGM INTERNATIONAL FOREST PRODUCTS I, ,VARIETY WOODS & GREENHEART LIMITED,2010-06-09 00:00:00,4598,2090,Demerara,"Philadelphia, Pennsylvania",BALTIC SEA,Guyana,PURCHASE ORDER # 117 WGMI / 1175 / POG WAXED ENDS,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,48,PCS,0, ,SOAI785GEOGLO009, , ,785, ,NORWAY,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,WGM INTERNATIONAL FOREST PRODUCTS I, ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,WGM INTERNATIONAL FOREST PRODUCTS,United States
"PIECES ROUGH SAWN GREENHEART LUMBE7,872 BOARD FEET",WGM INTERNATIONAL FOREST PRODUCTS I, ,VARIETY WOODS & GREENHEART LIMITED,2010-06-09 00:00:00,47234,21470,Demerara,"Philadelphia, Pennsylvania",BALTIC SEA,Guyana,PURCHASE ORDER # 117 WGMI / 1172 / POG WAXED ENDS,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,94,PCS,0, ,SOAI785GEOGLO007, , ,785, ,NORWAY,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,WGM INTERNATIONAL FOREST PRODUCTS I, ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,WGM INTERNATIONAL FOREST PRODUCTS,United States
"PIECES ROUGH SAWN GREENHEART LUMBER 19,536 BOARD FEET","WILLIAM G MOORE & SON, INC OF DELAW", ,VARIETY WOODS & GREENHEART LIMITED,2010-06-09 00:00:00,117216,53280,Demerara,"Philadelphia, Pennsylvania",BALTIC SEA,Guyana,PURCHASE ORDER # 767 WGM / 7679 / PO WAXED ENDS,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,127,PCS,0, ,SOAI785GEOGLO014, , ,785, ,NORWAY,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"WILLIAM G MOORE & SON, INC OF DELAW", ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,WILLIAM G. MOORE & SON INC,United States
"PIECES ROUND GREENHEART PILE313 LINEAL FEELENGTHS:30--36-PIECES ROUND GREENHEART PILES2,003 LINEAL FEETLENGTHS: 37--42-PIECES ROUND GREENHEART PILE1,780 LINEAL FEELENGTHS:30--36-","WILLIAM G MOORE & SON, INC OF DELAW", ,VARIETY WOODS & GREENHEART LIMITED,2010-06-09 00:00:00,173624,78920,Demerara,"Philadelphia, Pennsylvania",BALTIC SEA,Guyana,PURCHASE ORDER #768 WGM / 7686 / POG PINK END,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,110,PCS,0, ,SOAI785GEOGLO017, , ,785, ,NORWAY,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"WILLIAM G MOORE & SON, INC OF DELAW", ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,WILLIAM G. MOORE & SON INC,United States
PIECES ROUND GREENHEART PILES 593 LINEAL FEETLENGTHS: 24- - 30-,WGM INTERNATIONAL FOREST PRODUCTS I, ,VARIETY WOODS & GREENHEART LIMITED,2010-06-09 00:00:00,27302,12410,Demerara,"Philadelphia, Pennsylvania",BALTIC SEA,Guyana,PURCHASE ORDER # 116 WGMI / 1165 / POG BLUE ENDS,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,22,PCS,0, ,SOAI785GEOGLO010, , ,785, ,NORWAY,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,WGM INTERNATIONAL FOREST PRODUCTS I, ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,WGM INTERNATIONAL FOREST PRODUCTS,United States
PIECES ROUND GREENHEART PILES 361 LINEAL FEETLENGHTS:59--61-PIECES ROUND GREENHEART PILES 1258 LINEAL FEET LENGTHS:59--61-,"WILLIAM G MOORE & SON, INC OF DELAW", ,VARIETY WOODS & GREENHEART LIMITED,2010-06-09 00:00:00,84062,38210,Demerara,"Philadelphia, Pennsylvania",BALTIC SEA,Guyana,PURCHASE ORDER #767 WGM / 7673 / POG GREY END,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,27,PCS,0, ,SOAI785GEOGLO015, , ,785, ,NORWAY,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"WILLIAM G MOORE & SON, INC OF DELAW", ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,WILLIAM G. MOORE & SON INC,United States
"PIECES ROUND GREENHEART PILES321 LINEAL FEETLENGTHS:62--65-PIECES ROUND GREENHEART PILE340 LINEAL FEELENGTHS:48--49-PIECES ROUND GREENHEART PILES636 LINEAL FEETLENGTHS: 62--65-PIECES ROUND GREENHEART PILES925 LINEAL FEETLENGTHS: 48--49-PIECES ROUND GREENHEART PILES1,020 LINEAL FEETLENGHTS: 48- - 49-","WILLIAM G MOORE & SON, INC OF DELAW", ,VARIETY WOODS & GREENHEART LIMITED,2010-06-09 00:00:00,152944,69520,Demerara,"Philadelphia, Pennsylvania",BALTIC SEA,Guyana,PURCHASE ORDER #764 WGM / 7645 / POG GREY END,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,62,PCS,0, ,SOAI785GEOGLO018, , ,785, ,NORWAY,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"WILLIAM G MOORE & SON, INC OF DELAW", ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,WILLIAM G. MOORE & SON INC,United States
GREEN HEART PILES68- - 72- L X 14' - 16' D,DURABLE WOOD PRODUCTS USA INC., ,VARIETY WOODS & GREENHEART LTD,2010-04-11 00:00:00,464138,210972,Demerara,"Houston, Texas",KIRSTEN K,Guyana,BOOKING #GTHO10105,8004 NW 154 STREET #198 MIAMI LAKESFL 33016 1 305 828 4390,99 LALUNI STREET QUEENSTOWN GEOR,0,1,NC, ,91,PCS,0,CM,ASTSGTHO10105001, , ,1023, ,ANTIGUA AND BARBUDA,00 - Consumption Category,ASTS,ASSOCIATED TRANSPORT LINE LLC,HOUSTON,TX,77060,16801 GREENSPOINT PARK DR STE 225,DURABLE WOOD PRODUCTS USA INC., ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,DURABLE WOOD PRODUCTS USA INC.,United States
DRESSED PURPLEHEART LUMBERDRESSED PURPLEHEART LUMBER,INTER-CONTINENTAL HARDWOODS, ,VARIETY WOODS & GREENHEART LTD,2010-04-07 00:00:00,106989,48631,Port Bustamante,"Savannah, Georgia",ZIM SAVANNAH,Jamaica,NO MARKS NO NUMBERS NO MARKS NO NUMBERS,ATTN:MR. TERRI SCHUTTE 6841 MALPASS CORNER ROAD P.O. BOX 119 CURRIE NC 28435 USA TEL:910 283 9960 FAX:91,99 LALUNI STREET QUEENSTOWN GEORGET OWN GUYANA TEL:592 226 8556,28435,2,ZCSU8344229 ZCSU8844522,4500 4500,2298,PCS,38,CF,ZIMUGTG02830, , ,22E,ZZC103996/ ZZC103992/,LIBERIA,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,INTER-CONTINENTAL HARDWOODS, ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,INTER-CONTINENTAL HARDWOODS,United States
ROUGH SAWN GREENHEART LUMBER6021 BOARD FEET,WGM INTERNATIONAL FOREST PRODUCTS I, ,VARIETY WOODS & GREENHEART LIMITED,2010-03-24 00:00:00,36124,16420,Demerara,"Philadelphia, Pennsylvania",NANUK,Guyana,PURCHASE ORDER # 1166 WGMI/1166/POG WAXED ENDS,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,152,PCS,0, ,SOAIGEOGLO758008, , ,758, ,ANTIGUA AND BARBUDA,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,WGM INTERNATIONAL FOREST PRODUCTS I, ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,WGM INTERNATIONAL FOREST PRODUCTS,United States
ROUGH SAWN GREENHEART LUMBER2897 BOARD FEET,WGM INTERNATIONAL FOREST PRODUCTS I, ,VARIETY WOODS & GREENHEART LIMITED,2010-03-24 00:00:00,17380,7900,Demerara,"Philadelphia, Pennsylvania",NANUK,Guyana,PURCHASE ORDER # 1167 WGMI/1167/POG WAXED ENDS,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,68,PCS,0, ,SOAIGEOGLO758009, , ,758, ,ANTIGUA AND BARBUDA,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,WGM INTERNATIONAL FOREST PRODUCTS I, ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,WGM INTERNATIONAL FOREST PRODUCTS,United States
DRESSED PURPLEHEART LUMBER2560 BOARD FEETROUGH SAWN PURPLEHEART LUMBER4478 BOARD FEET,WGM INTERNATIONAL FOREST PRODUCTS I, ,VARIETY WOODS & GREENHEART LIMITED,2010-03-24 00:00:00,42218,19190,Demerara,"Philadelphia, Pennsylvania",NANUK,Guyana,PURCHASE ORDER # 1169 WGMI/1169/POG WAXED ENDS,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,201,PCS,0, ,SOAIGEOGLO758010, , ,758, ,ANTIGUA AND BARBUDA,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,WGM INTERNATIONAL FOREST PRODUCTS I, ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,WGM INTERNATIONAL FOREST PRODUCTS,United States
ROUGH SAWN GREENHEART LUMBER15536 BOARD FEET,WGM INTERNATIONAL FOREST PRODUCTS I, ,VARIETY WOODS & GREENHEART LIMITED,2010-03-24 00:00:00,93214,42370,Demerara,"Philadelphia, Pennsylvania",NANUK,Guyana,PURCHASE ORDER # 1170 WGMI/1170/POG WAXED ENDS,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,296,PCS,0, ,SOAIGEOGLO758011, , ,758, ,ANTIGUA AND BARBUDA,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,WGM INTERNATIONAL FOREST PRODUCTS I, ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,WGM INTERNATIONAL FOREST PRODUCTS,United States
ROUND GREENHEART PILES735 LINEAL FEET LENGTHS: 55- - 59-,"WILLIAM G MOORE & SON, INC OF DELAW", ,VARIETY WOODS & GREENHEART LIMITED,2010-03-24 00:00:00,34408,15640,Demerara,"Philadelphia, Pennsylvania",NANUK,Guyana,PURCHASE ORDER # 7647 WGM/7647/P.O.G GREY ENDS,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,13,PCS,0, ,SOAIGEOGLO758012, , ,758, ,ANTIGUA AND BARBUDA,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"WILLIAM G MOORE & SON, INC OF DELAW", ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,WILLIAM G. MOORE & SON INC,United States
ROUND GREENHEART PILES148 LINEAL FEETLENGTHS:37-,"WILLIAM G MOORE & SON, INC OF DELAW", ,VARIETY WOODS & GREENHEART LIMITED,2010-03-24 00:00:00,9130,4150,Demerara,"Philadelphia, Pennsylvania",NANUK,Guyana,PURCHASE ORDER # 7663 WGM/7663/P.O.G BROWN ENDS,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,4,PCS,0, ,SOAIGEOGLO758013, , ,758, ,ANTIGUA AND BARBUDA,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"WILLIAM G MOORE & SON, INC OF DELAW", ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,WILLIAM G. MOORE & SON INC,United States
ROUGH SAWN PURPLEHEART LUMBER7368 BOARD FEET,"DURABLE WOOD PRODUCTS USA, INC", ,VARIETY WOODS & GREENHEART LIMITED,2010-03-24 00:00:00,44198,20090,Demerara,"Philadelphia, Pennsylvania",NANUK,Guyana,DWP/1964/YELLOW ENDS,"8004 NW 154TH STREET #198 MIAMI LAKES, FL 33016","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",33016,1,NC, ,13,BNDLS,0, ,SOAIGEOGLO758006, , ,758, ,ANTIGUA AND BARBUDA,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"DURABLE WOOD PRODUCTS USA, INC", ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,DURABLE WOOD PRODUCTS USA INC.,United States
ROUND GREENHEART PILES1084 LINEAL FEET(LENGTHS: 28- - 32')ROUGH SAWN GREENHEART LUMBER7016 BOARD FEET,WGM INTERNATIONAL FOREST PRODUCTS I, ,VARIETY WOODS & GREENHEART LIMITED,2010-03-24 00:00:00,88858,40390,Demerara,"Philadelphia, Pennsylvania",NANUK,Guyana,PURCHASE ORDER # 1165 WGMI/1165/POG BLUE ENDS,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,193,PCS,0, ,SOAIGEOGLO758007, , ,758, ,ANTIGUA AND BARBUDA,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,WGM INTERNATIONAL FOREST PRODUCTS I, ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,WGM INTERNATIONAL FOREST PRODUCTS,United States
ROUGH SAWN PURPLEHEART LUMBER7328 BOARD FEET,"DURABLE WOOD PRODUCTS USA, INC", ,VARIETY WOODS & GREENHEART LIMITED,2010-03-24 00:00:00,43967,19985,Demerara,"Philadelphia, Pennsylvania",NANUK,Guyana,DWP/1963/YELLOW ENDS,"8004 NW 154TH STREET #198 MIAMI LAKES, FL 33016","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",33016,1,NC, ,11,BNDLS,0, ,SOAIGEOGLO758005, , ,758, ,ANTIGUA AND BARBUDA,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"DURABLE WOOD PRODUCTS USA, INC", ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,DURABLE WOOD PRODUCTS USA INC.,United States
ROUND GREENHEART PILES4416 LINEAL FEETLENGTHS:48- - 49-ROUGH SAWN GREENHEART LUMBER38473 BOARD FEETROUND GREENHEART PILES6811 LINEAL FEETLENGTHS:62- - 65-ROUND GREENHEART PILES7720 LINEAL FEETLENGTHS:50- - 52-,"WILLIAM G MOORE & SON, INC OF DELAW", ,VARIETY WOODS & GREENHEART LIMITED,2010-03-24 00:00:00,1153988,524540,Demerara,"Philadelphia, Pennsylvania",NANUK,Guyana,PURCHASE ORDER # 7645 WGM/7645/P.O.G WAXED ENDS,"218 SCHANCK ROAD PO BOX 6309 FREEHOLD, NJ 07728","99 LALUNI STREET QUEENSTOWN GEORGETOWN, GUYANA",7728,1,NC, ,452,PCS,0, ,SOAIGEOGLO758014, , ,758, ,ANTIGUA AND BARBUDA,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"WILLIAM G MOORE & SON, INC OF DELAW", ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,WILLIAM G. MOORE & SON INC,United States
"PHONE,TELEGRAPH,ELECTRIC POLESHIBADAN, TATABU & TONKABEAN LOGSPHONE,TELEGRAPH,ELECTRIC POLESHIBADAN, TATABU & TONKABEAN LOGSPHONE,TELEGRAPH,ELECTRIC POLESHIBADAN, TATABU & TONKABEAN LOGSPHONE,TELEGRAPH,ELECTRIC POLESHIBADAN, TATABU & TONKABEAN LOGSPHONE,TELEGRAPH,ELECTRIC POLESHIBADAN, TATABU & TONKABEAN LOGSPHONE,TELEGRAPH,ELECTRIC POLESHIBADAN, TATABU & TONKABEAN LOGSPHONE,TELEGRAPH,ELECTRIC POLESHIBADAN, TATABU & TONKABEAN LOGSPHONE,TELEGRAPH,ELECTRIC POLESHIBADAN, TATABU & TONKABEAN LOGSPHONE,TELEGRAPH,ELECTRIC POLESHIBADAN, TATABU & TONKABEAN LOGSPHONE,TELEGRAPH,ELECTRIC POLESHIBADAN, TATABU & TONKABEAN LOGS",JINHANG PURE WOOD (HONG KONG), ,VARIETY WOODS & GREENHEART LTD,2010-01-23 00:00:00,560244,254656,Port Bustamante,"Long Beach, California",ZIM PANAMA,Jamaica,NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS,LIMITED ROOM 1215-1216 12/F. HOUSTO N CENTRE 63 MODY ROAD KOWLOON HONG KONG,99 LALUNI STREET QUEENSTOWN GEORGET OWN GUYANA S.A,0,10,CLHU8581963 FCIU8639702 TEXU5366814 ZCSU2655075 ZCSU8257633 ZCSU8264186 ZCSU8343372 ZCSU8456255 ZCSU8954073 ZCSU8956501,4500 4500 4500 4200 4500 4500 4500 4500 4500 4500,130,PCS,193,CF,ZIMUGTG02527, , ,29W,ZZC107724/ ZZC107730/ ZZC107702/ ZZC107718/ ZZC107732/ ZZC107740/ ZZC107738/ ZZC105716/ ZZC107709/ ZZC107708/,UNITED KINGDOM,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,GUANGZHOU YUEXIU DISTRICT JINHANG, ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,JINHANG PURE WOOD (HONG KONG),Hong Kong
"PHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEBULLETWOOD & WAMARA LOGS",JINHANG PURE WOOD (HONG KONG), ,VARIETY WOODS & GREENHEART LTD,2010-01-23 00:00:00,954284,433765,Port Bustamante,"Long Beach, California",ZIM PANAMA,Jamaica,NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS,LIMITED ROOM 1215-1216 .12/F. HOUST ON CENTRE 63 MODY ROAD KOWLOON HONG KONG,99 LALUNI STREET QUEENSTOWN GEORGET OWN GUYANA S.A,0,17,CLHU8536558 FCIU8637696 FSCU6605699 ZCSU7011007 ZCSU7037470 ZCSU8241513 ZCSU8263127 ZCSU8323334 ZCSU8330400 ZCSU8471352 ZCSU8505848 ZCSU8592781 ZCSU8660398 ZCSU8829894 ZCSU8834545 ZCSU8847516 ZCSU8952580,4500 4500 4500 4500 4500 4500 4500 4500 4500 4500 4500 4500 4500 4500 4500 4500 4500,236,PCS,317,CF,ZIMUGTG02528, , ,29W,ZZC107731/ ZZC107704/ ZZC107701/ ZZC107711/ ZZC107725/ ZZC105714/ ZZC107726/ ZZC107714/ ZZC107723/ ZZC107720/ ZZC107710/ ZZC107736/ ZZC107717/ ZZC107735/ ZZC107727/ ZZC107716/ ZZC107729/,UNITED KINGDOM,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,GUANGZHOU YUEXIU DISTRICT JINHANG, ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,JINHANG PURE WOOD (HONG KONG),Hong Kong
"PHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGSPHONE,TELEGRAPH,ELECTRIC POLEDARINA, TATABU & WAMARA LOGS",JINHANG PURE WOOD (HONG KONG), ,VARIETY WOODS & GREENHEART LTD,2010-01-23 00:00:00,940029,427286,Port Bustamante,"Long Beach, California",ZIM PANAMA,Jamaica,NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS NO MARKS NO NUMBERS,LIMITED ROOM 1215-1216 12/F HOUSTO N CENTRE 63 MODY ROAD KOWLOON HONG KONG,99 LALUNI STREET QUEENSTOWN GEORGET OWN GUYANA .S.A,0,17,CLHU8524990 CLHU8545246 FSCU6763040 GLDU7420536 ZCSU8290570 ZCSU8313974 ZCSU8317590 ZCSU8329570 ZCSU8459779 ZCSU8532503 ZCSU8558410 ZCSU8573760 ZCSU8750697 ZCSU8784383 ZCSU8824151 ZCSU8857772 ZCSU8890549,4500 4500 4500 4500 4500 4500 4500 4500 4200 4500 4500 4500 4500 4500 4500 4500 4500,96,PCS,339,CF,ZIMUGTG02529, , ,29W,ZZC107706/ ZZC107721/ ZZC107715/ ZZC107733/ ZZC105713/ ZZC107722/ ZZC105718/ ZZC107713/ ZZC107739/ ZZC107734/ ZZC105715/ ZZC107705/ ZZC107719/ ZZC107737/ ZZC107707/ ZZC107728/ ZZC107712/,UNITED KINGDOM,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,GUANGZHOU YUEXIU DISTRICT JINHANG, ,GEORGETOWN,Variety Woods & Greenheart Ltd.,2010,JINHANG PURE WOOD (HONG KONG),Hong Kong
ROUGH SAWN GREENHEART LUMBER 6720 BOARD FEETROUGH SAWN GREENHEART LUMBER 7200 BOARD FEETROUGH SAWN GREENHEART LUMBER 7200 BOARD FEET,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LTD,2009-12-09 00:00:00,126720,57600,Point Lisas,"West Palm Beach, Florida",TROPIC CARIBE,Trinidad,FSCU6409042 TTNU9877848 TTRU4832249,218 SCHANCK ROAD SUITE #2 P.O. BOX 6309 FREEHOLD NJ 07728 US,99 LALUNI STREET QUEENSTOWN GEORGETOWN GY,7728,3,FSCU6409042 TTNU9877848 TTRU4832249,45G0 45G0 45G0,88,PCS,0, ,TSCW9368771, , ,214,2268934 2268912 22688990,SAINT VINCENT AND THE GRENADINES,00 - Consumption Category,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET, , ,"GEORGETOWN,DEMERA",Variety Woods & Greenheart Ltd.,2009,WILLIAM G. MOORE & SON INC,United States
