PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,YEAR,SHIPPER_CLEANED,SHIPPER_COUNTRY
01X40' HC CONTAINING: 18 BUNDLES WITH MOLDED PINE WOOD FORMOULDINGS STILE STOCK RAW SHIPPED ON BOARD FREIGHT COLLECT RE: 14/0900822-001 SD: 2140703330/1 NCM: 4418.90.00 EXPRESS RELEASE,BRIDGEWELL RESOURCES,,AERO COMERCIO DE PORTAS E BATENTES,2014-08-09 0:00:00,43780,19900,Port Itapoa,"Norfolk, Virginia",CAP JERVIS,Brazil,NO MARKS CES P.O'S.: 143434 71 7773,"10200 SW GREENBURG RD. PORTLAND, OR 97223 PORTLAND, OR 97223 OR 97223 US",LTDA - CNPJ: 11.847.182/0002-3 1 ANDAR FONE: (43) 3567-832 PR 84220-000 BR,97223,1,TCNU8810702,4510,18,PKG,0,CM,SUDU64ITJIA0918X,,,074N,BOLT4451399,LIBERIA,,SUDU,HAMBURG SUED,HAMBURG,,D-20415,WILLY-BRANDT-STRASSE 59-61 POSTFATCH 11 15,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD. PH: 503 872-3535 FX: 503 238-2 PORTLAND, OR 97223 OR 97223 US",ITAPOA SC BR,2014,AERO COMERCIO DE PORTAS E BATENTES,Brazil
SOUTH AFRICAN WHITE TEFF SEED 880 X 22.68KG NEUTRAL POLY PR OP BAGS WITH TAGS TOTAL  8 80 X 22.68KG NEUTRAL POLY BAGS WITH TAGS FREIGHT PREPAI D HS CODE: 1212.99,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ADVANCE SEED (PTY) LTD,2014-08-06 0:00:00,44000,20000,Port Natal,"New York/Newark Area, Newark, New Jersey",MARE SICULUM,South Africa,N/M,"12420 SE CARPENTER DRIVE 97015 CLACKAMAS, OREGON U.S.A. 1-5037235410 TEL EX 1-503723 54","8 JACOBS STREET, CHAMDOR,KRUGERSDORP, 1739 SOUTH AFRICA 27-117625261 TEL EX 27-11762 41",97015,1,MRKU9467242,2CB0,880,BAG,25,CM,MAEU951777375,,,N003,ML-ZA24316 ZA2431615,ANTIGUA AND BARBUDA,,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.",BRIDGEWELL RESOURCES LLC,"12420 SE CARPENTER DRIVE 97015 CLACKAMAS, OREGON U.S.A. 1-5037235410 TEL EX 1-503723 54",DURBAN,2014,ADVANCE SEED PTY LTD,South Africa
LUMBER TROPICAL HARDWOOD NES SAWN LENGTHWIS01X40HC WITH 16 BUNDLES JAMBS T E CLEAR FJ FLAT JAMBS PRIMED AND MOULDINGS AS PER PO - 718503.,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,INDUSFLORA PROD. FLORESTAIS LTDA.,2014-08-06 0:00:00,48114,21870,Itajay,"Miami, Florida",NYK JOANNA,Brazil,// //,10200 SOUTHWEST GREENBURG ROAD TIGARD OR 97223-5510 USA PH. 503 - 872 3565 LEONARD GREER,ROD. BR-282 KM 05 LAGES - SC - BRASIL. - CEP 88506-600,97223,1,YMLU8136743,45G0,16,BDL,0,CM,YMLUB951025088,,,327N,2906,SINGAPORE,,YMLU,YANG MING MARINE TRANSPORT CORP,TAIPEI,,,,BRIDGEWELL RESOURCES LLC,10200 SOUTHWEST GREENBURG ROAD TIGARD OR 97223-5510 USA PH. 503 - 872 3565 LEONARD GREER,NAVEGANTES Braz,2014,INDUSFLORA PRODUTOS FLORESTAIS LTDA,Brazil
WOODEN FURNITURE PARTS WOODEN FURNITURE PARTS SERVICE CONTRACT NUMBER SC45814 HS CODE 9403.90.7000 @FAX 1-503-238-2664,CONSIGNEE NAME: BRIDGEWELL,,SHIPPER NAME: OOO 'TRANSLESSERVICE',2014-08-06 0:00:00,42262,19210,Rotterdam,"Norfolk, Virginia",YM VANCOUVER,Netherlands,NO MARKS NO MARKS THE SAME THE SAME THE SAME,"RESOURCES LLC. COUNTRY: USA CITY: TIGARD, OR ADDRESS: 10200 SW GREENBURG RD, SUITE 500 ZIP CODE: 97223",COUNTRY: RUSSIA CITY: KOLPINO ADDRESS: 42 PAVLOVSKAYA STR. ZIP CODE: 196653,97223,1,FSCU4467097,42G0,24,PKG,30,X,EGLV507400025867,,,070W,2051098,CYPRUS,61 - Immediate Transportation,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,CONSIGNEE NAME: BRIDGEWELL,"RESOURCES LLC. COUNTRY: USA CITY: TIGARD, OR ADDRESS: 10200 SW GREENBURG RD, SUITE 500 ZIP CODE: 97223","ST. PETERSBURG, P",2014,SHIPPER NAME: OOO 'TRANSLESSERVICE',Russia
"15 PACKAGES WITH 5.338 PIECES OF CLEAR KD TADA AND PARANA PINE FJ PRIMED MOULDINGS INCOTERM: CFR RECEIVED ON BOARD FREIGHT: PREPAID CONTRACT NR: PO-00714049 MATERIAL ORIGIN: BRAZIL NCM: 44182000099 NALADI: 44182000099 HTS: 4409.10.40.10 HS CODE: 440910 ITEMS INDICATED AS FSC 100% ARE IN ACCORDANCE WITH THE FOLLOWING SPECIFICATIONS: PRODUCTS FSC - 1 ARE FROM FORESTS WITH FORESTRY MANAGMENT FSC-100% RA-COC-001878 THE SOLID WOOD PACKING MATERIALSIN THIS SHIPMENT ARE TOTALLY FREE OF BARK AND APPARENTLY FREE FROM LIFE PLANT PEST. THE REGULATED WOOD HAS BEEN TREATED IN ACCORDANCE WITH THE USDA REQUIREMENTS. R. E. NO.: 14 0868891-001 TO 002 DDE: 2140669913 6 INVOICE: 481 14NF.: 0103882 NET WEIGHT: 20.730,000 KGS ALSO NOTIFY: BRIDGEWELL RESOURCES LLC 10200 SW GREENBURG RD. PORTLAND, OR, 97223, U.S.A. ATTN: TIA SANDBERG PHONE: (800) 784-3545 FAX: (503) 238-2664 E-MAIL: TSANDBERG@BRIDGEWELLRES.COMSPA:073",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ARAUPEL S.A.,2014-08-05 0:00:00,45606,20730,Navagantes,"Baltimore, Maryland",MSC BREMEN,Brazil,ARAUPEL PO-00714049 BALTIMORE LJAT214440000DQ JAMBS T E FJ PRIMED S4S PACKAGES NBS 335 TO 343 LJAT214440000DQ JAMBS T E FJ PRIMED S4S FSC - 1 PACKAGES NBS 343 LJAT674870000DP JAMBS T E FJ PRIMED PACKAGES NBS 344 TO 345 AND 348 LJAT674870000DP JAMBS T E FJ PRIMED FSC - 1 PACKAGES NBS 346 TO 349 { NCM -------------} AMFU8599291 1 44182000 {-NCM--------------},"10200 SW GREENBURG RD. PORTLAND, 97223, U.S.A. ATTN: TIA SANDBERG PHONE:(800) 784-3545 FAX:(503) 23 E-MAIL: TSANDBERG@BRIDGEWELLRES.CO TIGARD OR 97223 US",FAZENDA RIO DAS COBRAS S N - PR BR CNPJ: 87102810001028 PHONE: 55 51 3221.7344 FAX: 55 51 3224.8022 QUEDAS DO IGUACU PR 85460000 BR,97223,1,AMFU8599291,4500,15,PCS,0,,CHIWPGMB73000,,,0427N,LT1004390,LIBERIA,,CHIW,COMPANIA SUD AMERICANA DE VAPORES S A,VALPARAISO,,,P O BOX 49 V,RICHARD MURRAY & SONS,"109 NORTH CONCEPTION ST. P.O. BOX MOBILE,AL 36601 U.S.A. ATTN:JAN R PHONE: (251)415-7042 FAX:(251) 43 E-MAIL: JAN@RICHARD-MURRAY.COM MOBILE AL 36602 US",NAVEGANTES (SANTA,2014,ARAUPEL S/A,Brazil
UREA 46PCTN PRILLED UREA 46%N PRILLED PO#00719823 UREA 46PCTN PRILLED UREA 46PCTN PRILLED,BRIDGEWELL RESOURCES LLC.,BRIDGEWELL RESOURCES LLC,"SINO STARCO CHEMICAL CO.,LIMITED.",2014-08-04 0:00:00,172458,78390,Ningpo,"Tacoma, Washington",EVER ELITE,China,N/M N/M THE SAME N/M N/M,"12420 SE CARPENTER DRIVE CLACKAMAS,OR 97015 USA FAX#503-742-1198","2 MINJIANG ROAD B-2403, QINGDAO 266071,P.R.CHINA",97015,3,FSCU4526348 EISU1754279 DFSU4307690,42G0 42G1 42G0,78,PKG,78,X,EGLV140400787577,,,0353E,EMCBQF4103 EMCBQF4113 EMCBQF4123,UNITED KINGDOM,,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,"TLR,MARGARET MOWERY","11855 N.E.GLENN WIDING DRIVE, PORTLAND OR 97220 P#503-257-6090X343","QINGDAO, CHINA",2014,"SINO STARCO CHEMICAL CO.,LIMITED",China
UREA PRILLED UREA PRILLED UREA PRILLED UREA PRILLED @TEL 0086 538 8581779,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,TAI'AN GUANGYUAN INTERNATIONAL,2014-08-04 0:00:00,171930,78150,Ningpo,"Tacoma, Washington",EVER ELITE,China,N/M N/M N/M N/M THE SAME,"12420 SE CARPENTER DRIVE CLACKAMAS, OR 97015 USA FAX: 503-742-1198","TRADE CO.,LTD ADDRESS:TAI'AN CITY,THE GREAT WALL ROAD NO. 96, TIANLONG INTERNATIONAL BUILDING @",97015,3,FSCU4348842 EISU1691714 IMTU1093318,42G0 42G1 42G1,78,BAG,98,X,EGLV140400788433,,,0353E,EMCBQF4143 EMCBQF4153 EMCBQF4133,UNITED KINGDOM,,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,"TLR, MARGARET MOWERY","11855 NE GLENN WIDING DRIVE, PORTLAND OR 97220 PHONE: 5036-257-6090 X 343","QINGDAO, CHINA",2014,TAI'AN GUANGYUAN INTERNATIONAL,China
"01 CONTAINER 40HC CONTAINING 20 PACKAGES BEING: 20 PACKAGES WITH 522 PIECES EACH - 44,060M3 OF 11 16 X4-5 8 X81 FLAT JAMBS PO : 00716051 NCM - 4409.10.00 - WOOD CONTINUOSLY SHAPED ALONG ANY OF ITS EDGES, ENDS, OR FACE, WHETHER OR NOT PLANED, SANDED OR END-JOINTED: CONIFEROUS, STANDARD WOOD MOULDINGS: PINE (PINUS SPP.), END-JOINTED SHIPPED ON BOARD FREIGHT COLLECT RE: 140882071001 SD: 2140679717 0HS CODE SH: 440910 NET WEIGHT: 19.800,00 KG COMMERCIAL INVOICE - 000.021.714 ALSO NOTIFY PARTY: RICHARD MURRAY & COMPANY 109 N. CONCEPTION ST. MOBILE, AL 36602 PHONE: 251-432-5549 EXT. 19FAX: 251-432-2810 EMAIL: MAC@RICHARD-MURRAY.COM",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,MADEIRAS SALAMONI LTDA.,2014-08-04 0:00:00,44440,20200,Itajay,"Houston, Texas",CSAV HOUSTON,Brazil,SALAMONI { NCM -------------} TCNU9292932 1 44091000 {-NCM--------------},"10200 SW GREENBURG RD., SUITE 500 TIGARD, OR 97223 - U.S.A. PHONE:503-872-3535 FAX:503-238-266 TIGARD OR 97223 US","83.054.544 0001-63 RODOVIA HONORINO MORO,5520 BAIRRO:SORGATTO CACADOR - SC - BRA PHONE:(49)3563-1072 FAX:(49) 3563- CACADOR SC 89500000 BR",97223,1,TCNU9292932,4500,20,PCS,0,,CPLBKHRA5KK00,,,1423N,LT1004472,LUXEMBOURG,,CPLB,COMPANIA LIBRA DE NAVEGACION (URUGUAY) S A,MONTEVIDEO,,11 100,EDIFICIO PLZZA MAYOR PLZZA INDEPENDENCIA,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD, SUITE 500 TIGARD, OR 97223 PHONE:503-872-3535 FAX:503-238-266 EMAIL: INDINVOICE@BRIDGEWELLRES.C TIGARD OR 97223 US",ITAJAI (SANTA CAT,2014,G13 MADEIRAS LTDA,Brazil
"NET WEIGHT: 21.950 KGS 24 PALLET (S) WITH URUGUAYAN PINE K/D BLANKS S2S PCS 7544 MBF 40.218 CBM 94.860 ORDER NR.: 713665/716035 WOOD PACKING MATERIALS BEING USED ARE FREE OF BARK & APPARENTLY FREE FROMLIVE PLANT PEST 2ND NOTIFY RICHARD MURRAY & CO.INC. 109N CONCEPTION STREET 102 MOBILE,AL36602 INGEWENTWORTHP:2514325549 EXT.19 F:2514322810 INGE RICHARD-MURRAY.COM NET WEIGHT: 23.190 KGS",BRIDGEWELL RESOURCES,,DANK S.A.,2014-08-03 0:00:00,100100,45500,Cartagena,"Houston, Texas",MONTE CERVANTES,Colombia,NO MARKS NO MARKS,"10200 SW GREENBURG RD.,STE.500 TIGARD,OR 97223-EE.UU. TIGARD,OR 97223-EE. OR 97223 US",JUAN PAULLIER 1671 FX.59824088056 MONTEVIDEO-URUGUAY 11000 UY,97223,2,SUDU8711318 SUDU5763956,4510 4510,24,PKG,0,CM,SUDU546700091135,,,057N,HS636029 HS638382,PORTUGAL,,SUDU,HAMBURG SUED,HAMBURG,,D-20415,WILLY-BRANDT-STRASSE 59-61 POSTFATCH 11 15,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD.,STE.500 PH:5038723535 OR 8007843545 TIGARD,OR 97223-EE. OR 97223 US","MONTEVIDEO, URUGU",2014,DANK S.A.,Uruguay
LAMINATED FLOORING LAMINATED FLOORING,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,KRONOFLOORING GMBH,2014-08-02 0:00:00,69388,31540,Bremerhaven,"Mobile, Alabama",MSC LAURA,Germany,NO MARKS NO MARKS,"10200 SW GREENBURG ROAD, SUITE 500 TIGARD, OREGON 97223 UNITED STATES",MUEHLBACHER STRASSE 1 01561 LAMPERTSWALDE GERMANY,97223,2,TEMU3809231 MSCU6617399,2210 2210,44,PKG,0,,FMSWDE1456149,H,MSCUGS183205,0427A,GW0506953 245716,PANAMA,,FMSW,FMS SEAWAYS AG,OPFIKON ZURICH,,,SAGEREISTRASSE 24 POSTFACH 8152 GLATTBRUGG,-NOT AVAILABLE-,,,2014,KRONOFLOORING GMBH,Germany
"1X40 HC 22 PALLET (S) WITH URUGUAYAN PIN E K/D BLANKS S2S PCS 6348 MBF 20.839 CBM 49.160 ORDER NR: 707882 WOOD PACKING MATE RIALS BEING USED ARE FREE OF BARK & APPAR ENTLY FREE FROMLIVE PLANT PEST 2ND NOTIFY RICHARD MURRAY & CO. INC. 109N CONCEPTIO N STREET #102 MOBILE,AL36602 INGE WENTWOR TH P:2514325549 EXT.19 F:2514322810 INGE@ RICHARD-MURRAY.COM",BRIDGEWELL RESOURCES,,DANK S.A.,2014-08-02 0:00:00,23600,10727,Port Bustamante,"Oakland, California",ZIM SAVANNAH,Jamaica,NO MKS & NO NOS,"10200 SW GREENBURG RD.,STE.500, TIG ARD,OR 97223-EE.UU. PH:5038723535 O R 8007843545 FX:5032382664",JUAN PAULLIER 1671 MONTEVIDEO- URU GUAY PH.59824099999-FX.59824088056,97223,1,TCLU5138829,4500,22,PKG,0,CF,ZIMUMVD0044355,,,43W,ZZZS605729,LIBERIA,,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA,,,,RICHARD MURRAY & CO. INC.,"109N CONCEPTION STREET #102 MOBILE, AL36602 INGE WENTWORTH P:2514325549 EXT.19 F:2514322810 INGE@RICHARD-",MONTEVIDEO,2014,DANK S.A.,Uruguay
"2X40HC 44 PKG (S) WITH URUGUAYAN PINE K/ D BLANKS S2S PCS 9423 MBF 41.293 CBM 97.3 30 ORDER NR: 714950/707907 WOOD PACKING M ATERIALS BEING USED ARE FREE OF BARK & AP PARENTLY FREE FROMLIVE PLANT PEST 2ND NOT IFY: RICHARD MURRAY & CO. INC. 109N CONCE PTION STREET #102 MOBILE, AL36602 INGE WE NTWORTH P: 2514325549 EXT 19 F:2514322810 INGE@RICHARD-MURRAY.COM 2X40HC 44 PKG (S) WITH URUGUAYAN PINE K/ D BLANKS S2S PCS 9423 MBF 41.293 CBM 97.3 30 ORDER NR: 714950/707907 WOOD PACKING M ATERIALS BEING USED ARE FREE OF BARK & AP PARENTLY FREE FROMLIVE PLANT PEST 2ND NOT IFY: RICHARD MURRAY & CO. INC. 109N CONCE PTION STREET #102 MOBILE, AL36602 INGE WE NTWORTH P: 2514325549 EXT 19 F:2514322810 INGE@RICHARD-MURRAY.COM",BRIDGEWELL RESOURCES,,DANK S.A.,2014-08-02 0:00:00,48330,21968,Port Bustamante,"Oakland, California",ZIM SAVANNAH,Jamaica,NO MKS & NO NOS NO MKS & NO NOS,"10200 SW GREENBURG RD.,STE 500, TIG ARD, OR 97223-EEUU PH:5038723535 OR 8007843545 FX:5032382664",JUAN PAULLIER 1671 MONTEVIDEO- URU GUAY PH.59824099999 FX.59824088056,97223,2,TCNU8940429 ZCSU8845658,4500 4500,44,PKG,0,CF,ZIMUMVD0044413,,,43W,ZZZS612774 ZZZS613898,LIBERIA,,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA,,,,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD,STE 500, TIGA RD, OR 97223 - EEUU PH:5038723535 O R 8007843545 FX:5032382664",MONTEVIDEO,2014,DANK S.A.,Uruguay
"1X40HC 24 PKG (S) WITH URUGUAYAN PINE K/ D BLANKS S2S PCS 12956 MBF 21.265 CBM 50. 170 ORDER NR: 707884 WOOD PACKING MATERIA LS BEING USED ARE FREE OF BARK & APPARENT LY FREE FROMLIVE PLANT PEST 2ND NOTIFY: R ICHARD MURRAY & CO INC. 109N CONCEPTION S TREET #102 MOBILE, AL36602 INGE WENTWORTH P:2514325549 EXT 19 F:2514322810 INGE@RI CHARD-MURRAY.COM",BRIDGEWELL RESOURCES,,DANK S.A.,2014-08-02 0:00:00,24100,10955,Port Bustamante,"Oakland, California",ZIM SAVANNAH,Jamaica,NO MKS & NO NOS,"10200 SW GREENBURG RD, STE 500, TIG ARD, OR 97223-EEUU PH:5038723535 OR 8007843545 FX:5032382664",JUAN PAULLIER 1671 MONTEVIDEO-URUG UAY PH.59824099999 FX.59824088056,97223,1,ZCSU8568039,4500,24,PKG,0,CF,ZIMUMVD0044418,,,43W,ZZZS613771,LIBERIA,,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA,,,,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD, STE 500, TIG ARD, OR 97223 - EEUU PH:5038723535 OR 8007843545 FX:5032382664",MONTEVIDEO,2014,DANK S.A.,Uruguay
"18 PCKGS WITH TADA PINE, S4S, KILN DRIED 10- 12% MC OR LES, CLEAR A GRADE FINGER JOINT MOULDINGS PRIMED EXTERIOR GLUE. COUNTRY OF ORIGIN: BRAZIL TRATAMENTO TERMICO PO: 716134 02 PCKGS WM 620 9 16 X 4-1 4 X 16 PRIMED 7,221 M3 960 SHEETS 01 PCKG WM 620 9 16 X 4-1 4 X 16 PRIMED 3,370 M3 448 SHEETS 03 PCKGS #502 1.3 16 X 4 X 17 PRIMED 14,291 M3 900 SHEETS 01 PCKG #502 1.3 16 X 4 X 17 PRIMED 4,573 M3 288 SHEETS02 PCKGS #502 1.3 16 X 4 X 88 PRIMED 7,398 M3 1080 SHEETS 02 PCKGS #502 1.3 16 X 4 X 88 PRIMED 6,658 M3 972 SHEETS 03 PCKGS WM 356 11 16 X 2-1 4 X 16 PRIMED 11,213 M3 2304 SHEETS 02 PCKGS WM 356 11 16 X 2-1 4 X 84 PRIMED 4,906 M3 2304 SHEETS02 PCKGS WM 356 11 16 X 2-1 4 X 84 PRIMED 2,453 M3 1152 SHEET SHIPPED ON BOARD FREIGHT COLLECT NCM: 44091000 NALADI SH 44091000 RE: 14 0849294-001 - SD 2140654896 0 WEIGHT GROS: 20.185 KG NET GROS: 20.185 KGP.O. BOX 30 MOBILE, AL 36601","BRIDGEWELL RESOURCES, LLC",,MADEIREIRA BEIRA RIO LTDA,2014-07-31 0:00:00,44407,20185,Itajay,"New Orleans, Louisiana",SANTA PHILIPPA,Brazil,PO: 716134 { NCM -------------} GESU4504112 1 44091000 {-NCM--------------},"10200 SW GREENBURG ROAD - SUITE 50 TIGARD, OR 97223 PHONE: [503] 231- ATTN: LEONARD GREER TIA SANDBERG LGREER@BRIDGEWELLRES.COM TIGARD US","BAIRRO INDUSTRIAL, S N PAPANDUVA BRASIL CEP:89.370-000 CNPJ:82.749. FONE: ( 47 ) 3653 2055 FATURAMENTO@MBEIRARIO.COM.BR PAPANDUVA SC 89370000 BR",97223,1,GESU4504112,4500,18,PCS,0,,CPLBKHRA5G790,H,CPLBKHRA5G700,1422N,LT1001693,GERMANY,,CPLB,COMPANIA LIBRA DE NAVEGACION (URUGUAY) S A,MONTEVIDEO,,11 100,EDIFICIO PLZZA MAYOR PLZZA INDEPENDENCIA,RICHARD MURRAY & CO.,ATTN: JAN & INGE E-MAIL: JAN@RICHARD-MURRAY.COM INGE@RICHARD-MURRAY.COM PH: 251-415-7042 MOBILE AL 36602 US,ITAJAI (SANTA CAT,2014,MADEIREIRA RIO CLARO LTDA,Brazil
"12 PACKAGES WITH 6.807 PIECES OF CLEAR KD TADA PINE FJ PRIMED MOULDINGS INCOTERM: CFR RECEIVED ON BOARD FREIGHT: PREPAID CONTRACT NR: PO-00714045 MATERIAL ORIGIN: BRAZIL NCM: 441820000 NALADI: 441820000 HTS: 4409.10.40.10 HS CODE: 440910 THE SOLID WOOD PACKING MATERIALS IN THIS SHIPMENT ARE TOTALLY FREE OF BARK AND APPARENTLY FREE FROM LIFE PLANT PEST. THE REGULATED WOOD HAS BEEN TREATED IN ACCORDANCE WITH THE USDA REQUIREMENTS. R. E. NO.: 14 0828184-001DDE: 2140639314 2 INVOICE: 480 14 NF.: 0103240 NET WEIGHT: 20.380,000 KGS ALSO NOTIFY: BRIDGEWELL RESOURCES LLC 10200 SW GREENBURG RD. PORTLAND, OR, 97223, U.S.A. ATTN: TIA SANDBERGPHONE: (800) 784-3545 FAX: (503) 238-2664 E-MAIL: TSANDBERG@BRIDGEWELLRES.COM SPA:073",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ARAUPEL S.A.,2014-07-30 0:00:00,44836,20380,Navagantes,"Baltimore, Maryland",HS COLUMBIA,Brazil,ARAUPEL PO-00714045 BALTIMORE LJAT212870000DQ JAMBS T E FJ PRIMED S4S PACKAGES NBS 305 TO 316 { NCM -------------} AMFU8906504 1 44182000 {-NCM--------------},"10200 SW GREENBURG RD. PORTLAND, 97223, U.S.A. ATTN: TIA SANDBERG PHONE:(800) 784-3545 FAX:(503) 23 E-MAIL: TSANDBERG@BRIDGEWELLRES.CO TIGARD OR 97223 US",FAZENDA RIO DAS COBRAS S N - PR BR CNPJ: 87102810001028 PHONE: 55 51 3221.7344 FAX: 55 51 3224.8022 QUEDAS DO IGUACU PR 85460000 BR,97223,1,AMFU8906504,4500,12,PCS,0,,CHIWPGMB6NC00,,,0426N,LT1001418,LIBERIA,,CHIW,COMPANIA SUD AMERICANA DE VAPORES S A,VALPARAISO,,,P O BOX 49 V,RICHARD MURRAY & SONS,"109 NORTH CONCEPTION ST. P.O. BOX MOBILE,AL 36601 U.S.A. ATTN:JAN R PHONE: (251)415-7042 FAX:(251) 43 E-MAIL: JAN@RICHARD-MURRAY.COM MOBILE AL 36602 US",NAVEGANTES (SANTA,2014,ARAUPEL S/A,Brazil
GRASS SEEDS FREIGHT PREPAID GRASS SEEDS FREIGHT PREPAID GRASS SEEDS FREIGHT PREPAID,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,BAREBRUG SA SEEDS (PTY) LTD,2014-07-30 0:00:00,125400,57000,Port Natal,"New York/Newark Area, Newark, New Jersey",MAERSK VALLVIK,South Africa,NO MARKS NO MARKS NO MARKS,12420 SE CARPENTER DRIVE CLACKAMAS (OR) 97015 US,18 STILLWATER STREET DURBANVILLE IN CAPE TOWN 7550 SOUTH AFRICA,,3,TEMU3807291 MEDU6447848 TEMU4623961,2210 2210 2210,2280,BAG,60,X,MSCUJH147850,,,N016,MSCZA13457335 MSCZA13457333 MSCZA13457347,SINGAPORE,,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA,,CH 1206,40 AVENUE EUGENE PITTARD,TLR,11855 NE GLENN WIDING DRIVEPORTLAND PORTLAND OR 97220 UNITED STATES,DURBAN,2014,BARENBRUG SA SEEDS (PTY) LTD,South Africa
SOUTH AFRICAN BROWN TEFF SEED 880 X 22.68KG NEUTRAL POLY PR OP BAGS WITH TAGS PER 20FT FCL TOTAL  1760 X 22.68KG NEU TRAL POLY PROP BAGS WITH TAGS FREIGHT PREPAID HS CODE: 1209.99 SOUTH AFRICAN BROWN TEFF SEED 880 X 22.68KG NEUTRAL POLY PR OP BAGS WITH TAGS PER 20FT FCL TOTAL  1760 X 22.68KG NEU TRAL POLY PROP BAGS WITH TAGS FREIGHT PREPAID HS CODE: 1209.99,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ADVANCE SEED (PTY) LTD,2014-07-30 0:00:00,88001,40000,Port Natal,"New York/Newark Area, Newark, New Jersey",MAERSK VALLVIK,South Africa,N/M N/M,12420 SE CARPENTER DRIVE 97015 CLACKAMAS OREGON. U.S.A. 1-5037235410 TEL EX 1-503723 54,"8 JACOBS STREET, CHAMDOR,KRUGERSDORP, 1739 SOUTH AFRICA 27-117625261 TEL EX 27-11762 41",97015,2,MRKU9695664 MRKU9093179,2CB0 2CB0,1760,BAG,50,CM,MAEU951777357,,,N016,ML-ZA24647 ZA2464795 ML-ZA24647 ZA2464796,SINGAPORE,,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.",BRIDGEWELL RESOURCES LLC,12420 SE CARPENTER DRIVE 97015 CLACKAMAS OREGON. U.S.A. 1-5037235410 TEL EX 1-503723 54,DURBAN,2014,ADVANCE SEED PTY LTD,South Africa
LAMINATED FLOORING LAMINATED FLOORING LAMINATED FLOORING LAMINATED FLOORING,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,KRONOFLOORING GMBH,2014-07-29 0:00:00,140008,63640,Bremerhaven,"Charleston, South Carolina",COSCO NAGOYA,Germany,NO MARKS NO MARKS NO MARKS NO MARKS,"10200 SW GREENBURG ROAD, SUITE 500 TIGARD, OREGON 97223 UNITED STATES",MUEHLBACHER STRASSE 1 01561 LAMPERTSWALDE GERMANY,97223,4,CLHU3749904 OCGU2055447 TEMU3693795 TCLU3496021,,88,PKG,0,,FMSWDE1456159,H,EGLV560400232737,0049W,245728 245730 245676 245713,PANAMA,,FMSW,FMS SEAWAYS AG,OPFIKON ZURICH,,,SAGEREISTRASSE 24 POSTFACH 8152 GLATTBRUGG,-NOT AVAILABLE-,,,2014,KRONOFLOORING GMBH,Germany
