PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,YEAR,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,SHIPPER_CLEANED,SHIPPER_COUNTRY,ekki,greenheart,darina,tatabu,shibadan,tauroniro,garlicwood,locust,bulletwood,kabukalli,wamara,cow wood,mora,bukea,burada,eucalyptus cloeziana,tali,piles
ROUND GREENHEART PILES  1750 LIN FT LEN GTHS 20' - 30' FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S A CCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,GS FOREST RESOURCES INC.,06/08/2015,2015,16470,7486,Port Bustamante,"New York/Newark Area, Newark, New Jersey",OCTAVIA,Jamaica,ENDS PAINTED,"OF DELAWARE 218 SCHANCK ROAD, PO BO X 6309 FREEHOLD NEW JERSEY 07728 US A TEL:732-303-6049 FAX:732-303-607","20 BEL AIR PROMENADE PRASHAD NAGAR, GUYANA TEL:592 218 0085/ 626 7493 FAX:592 218 0054",7728,1,ZCSU8616970,4500,70,PCS,0,CF,ZIMUGTG08633, , ,2W,CTA296789ZZCK86818,MARSHALL ISLANDS, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,GS Forest Resources,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ROUND GREENHEART PILES 760 LINEAL FEET F REIGHT COLLECT ALL LOCAL CHARGES AT DESTI NATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC.,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LIMITED,06/08/2015,2015,20790,9450,Port Bustamante,"New York/Newark Area, Newark, New Jersey",OCTAVIA,Jamaica,WGM/8384/,"OF DELAWARE 218 SCHANCK ROAD, PO BO X 6309, FREEHOLD, NEW JERSEY 07728, USA TEL:732-303-6049 FAX:732-303-",99 LALUNI STREET QUEENSTOWN GEORGET OWN GUYANA SOUTH AMERICA,7728,1,TCNU8750434,4500,20,PCS,0,CF,ZIMUGTG08649, , ,2W,ZZCK86862CTA297195,MARSHALL ISLANDS, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,Variety Woods & Greenheart,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ROUND GREENHEART PILES PURCHASE ORDER# VWL/WGM 8279-A END COLOUR-PINK UP TO 40' 87 PIECES 41'-50' 194 PIECES 51'-60' 157 PIECES 61'-70' 98 PIECES 71'-OVER 4 PIECES,WILLIAM G. MOORE & SON. INC. OF DE.,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LTD,12/19/2014,2014,1386220,630100,Demerara,"Providence, Rhode Island",IDA,Guyana,WGM/8279 A / P.O.G.,"218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 USA","99 LALUNI STREET QUEENSTOWN, GEORGETOWN GUYANA",7728,1,NC, ,540,PCS,0, ,SOAI217GEODAV001, , ,217, ,ANTIGUA AND BARBUDA, ,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,WILLIAM G. MOORE & SON. INC. OF DE.,"218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 USA",GUYANA,Variety Woods & Greenheart,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ROUND GREENHEART PILES PURCHASE ORDER # VWL/WGM 8279-B END COLOUR: GREY AND WHITE & GREYUP TO 40' 8 PIECES 41'-50' 48 PIECE S 51'-60' 69 PIECES 61'-70' 79 PIECES,WILLIAM G. MOORE & SON. INC. OF DE.,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LTD,12/19/2014,2014,494017,224553,Demerara,"Providence, Rhode Island",IDA,Guyana,WGM /8279 B / P.O.G.,"218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 USA","99 LALUNI STREET QUEENSTOWN, GEORGETOWN GUYANA",7728,1,NC, ,204,PCS,0, ,SOAI217GEODAV002, , ,217, ,ANTIGUA AND BARBUDA, ,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,WILLIAM G. MOORE & SON. INC. OF DE.,"218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 USA",GUYANA,Variety Woods & Greenheart,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ROUND GREENHEART PILES ORANGE ENDS WGM 8312 POG,WILLIAM G. MOORE & SON. INC. OF DE.,WILLIAM G. MOORE & SON INC,G S FOREST RESOURCES INC,12/19/2014,2014,72541,32973,Demerara,"Providence, Rhode Island",IDA,Guyana,WGM 8312 POG,"218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 USA",20 BEL AIR PROMENADE PRASHAD NAGAR. GUYANA,7728,1,NC, ,29,PCS,0, ,SOAI217GEODAV003, , ,217, ,ANTIGUA AND BARBUDA, ,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,WILLIAM G. MOORE & SON. INC. OF DE.,"218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 USA",GUYANA,GS Forest Resources,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GREENHEART PILES(CHLOROCARDIUM RODIEI)INCLUDING NAME/TYPE OF WOOD PURCHASE ORDER NO 8307 &8329 ENDS COLOUR/MARKS ON ENDS WHITE ENDS WITH BLUE AND RED MARKS WGM 8307 P.O.G. WGM8329 P.O.G.,WILLIAM G. MOORE & SON. INC. OF DE.,WILLIAM G. MOORE & SON INC,DURABLE WOOD PRODUCTS ENTERPRISES,12/19/2014,2014,301946,137248,Demerara,"Providence, Rhode Island",IDA,Guyana,WGM 8307 P.O.G. WGM 8329 P.O.G.,"218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 USA",81 STONE AVENUE SECTION M CAMBELLVILLE GEORGTOWN,7728,1,NC, ,120,PCS,0, ,SOAI217GEODAV004, , ,217, ,ANTIGUA AND BARBUDA, ,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,WILLIAM G. MOORE & SON. INC. OF DE.,"218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 USA",GUYANA,Durable Wood Products Enterprises,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ROUGH SAWN GREENHEART LUMBER PURCHASE ORDER #WGM 8322 END COLOUR: WHITE,WILLIAM G. MOORE & SON. INC. OF DE.,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LTD,12/19/2014,2014,36289,16495,Demerara,"Providence, Rhode Island",IDA,Guyana,MS / 8322 / P.O.G.,"218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 USA","99 LALUNI STREET QUEENSTOWN, GEORGETOWN GUYANA",7728,1,NC, ,18,PCS,0, ,SOAI217GEODAV006, , ,217, ,ANTIGUA AND BARBUDA, ,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,WILLIAM G. MOORE & SON. INC. OF DE.,"218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 USA",GUYANA,Variety Woods & Greenheart,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
(16 PIECES GREENHEART LUMBER R/S) (20 PI ECES GREENHEART PILES) FREIGHT COLLECT AL L LOCAL CHARGES AT DESTINATION FOR CONSIG NEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,DURABLE WOOD PRODUCTS ENTERPRISES,11/16/2014,2014,19800,9000,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM SAN FRANCISCO,Jamaica,WGM PO# 8306,"OF DELAWARE 218 SCHANCK ROAD, PO BO X 6309 FREEHOLD NEW JERSEY 07728 US A",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,7728,1,ZCSU7014135,4500,36,PCS,0,CF,ZIMUGTG07945, , ,27W,CTA269671 ZZCK53155,MALTA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,Durable Wood Products Enterprises,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GREENHEART PILES FREIGHT COLLECT ALL LOC AL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,DURABLE WOOD PRODUCTS ENTERPRISE,11/16/2014,2014,18610,8459,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM SAN FRANCISCO,Jamaica,WGM PO# 8297,"OF DELAWARE 218 SCHANCK ROAD, PO BO X 6309 FREEHOLD NEW JERSEY 07728 US A",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,7728,1,ZCSU8717071,4500,36,PCS,0,CF,ZIMUGTG07946, , ,27W,CTA269676 ZZCK53148,MALTA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,Durable Wood Products Enterprises,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GREENHEART PILES FREIGHT COLLECT ALL LOC AL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,DURABLE WOOD PRODUCTS ENTERPRISES,10/16/2014,2014,21120,9600,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM CONSTANZA,Jamaica,WGM PO# 8246 POG,"OF DELAWARE 218 SCHANCK ROAD, PO BO X 6309 FREEHOLD NEW JERSEY 07728 US A",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,7728,1,AMFU8641241,4500,23,PCS,0,CF,ZIMUGTG07893, , ,30E,CTA312358 ZZCK53000,ISRAEL, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,Durable Wood Products Enterprises,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ROUND GREENHEART PILES  1120 LIN FT LEN GTHS - 35' - 39' FREIGHT COLLECT ALL LOCA L CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,GS FOREST RESOURCES INC.,10/09/2014,2014,24590,11177,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM QINGDAO,Jamaica,BLUE ENDS,"OF DELAWARE 218 SCHANCK ROAD, FREEH OLD NJ 07728 USA TEL:7323036049 FAX :7323036075",20 BEL AIR PROMENADE PRASHAD NAGAR GUYANA TEL:592 218 0085/ 626 7493 F AX:592 218 0054,7728,1,ZCSU8205368,4500,29,PCS,0,CF,ZIMUGTG07887, , ,48E,CTA311842 ZZCK67327,LIBERIA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,GS Forest Resources,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
EKKI TIMBER,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,WIJMA KAMPEN B.V,09/20/2014,2014,33504,15229,Rotterdam,"New York, New York",KUALA LUMPUR EXPRESS,Netherlands,NO MARKS,218 SHANCK ROAD FREEHOLD NJ 07728 USA,HAAT LANDHAVEN 3 AS KAMPEN KAMPEN 8263 NETHERLANDS,7728,1,ACLU9630524, ,64,PCS,0, ,ATLLUSNYC6352,H,ACLU4J50S6465136,4J50,A000004,GERMANY, ,ATLL,ATLAS LINE,DN31 3ER GRIMSBY, , ,107 CLEETHORPE ROAD,WILLIAM G. MOORE & SON INC,218 SHANCK ROAD FREEHOLD NJ 07728 USA,"ROTTERDAM, NETHER",Wijma Kampen B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GREENHEART PILES FREIGHT COLLECT ALL LOC AL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,DURABLE WOOD PRODUCTS ENT.,09/14/2014,2014,19420,8827,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM TARRAGONA,Jamaica,WGM PO# 8231 POG,"OF DELAWARE 218 SCHANCK ROAD, PO BO X 6309 FREEHOLD NEW JERSEY 07728 US A",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,7728,1,ZCSU8331453,4500,30,PCS,0,CF,ZIMUGTG07785, , ,30E,CTA305950 ZZCK52661,ISRAEL, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,Durable Wood Products Enterprises,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GREENHEART PILES FREIGHT COLLECT ALL LOC AL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,DURABLE WOOD PRODUCTS ENT.,09/14/2014,2014,20160,9164,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM TARRAGONA,Jamaica,WGM PO# 8297 POG,"OF DELAWARE 218 SCHANCK ROAD, PO BO X 6309 FREEHOLD NEW JERSEY 07728 US A",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,7728,1,ZCSU8851007,4500,36,PCS,0,CF,ZIMUGTG07787, , ,30E,CTA305953 ZZCK52694,ISRAEL, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,Durable Wood Products Enterprises,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GREENHEART PILES 35' TO 39' FREIGHT COLL ECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WE IGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,INTERIOR FOREST INDUSTRIES LTD.,09/14/2014,2014,23960,10891,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM TARRAGONA,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BO X 6309 FREEHOLD NJ 07728 USA",LOT 10-12 LOMBARD STREET GEORGETOW N GUYANA,7728,1,TCNU8530954,4500,25,PCS,0,CF,ZIMUGTG07797, , ,30E,CTA306008 ZZCK52689,ISRAEL, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,Toolsie Persaud Limited/Interior Forest Industries,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ROUND GREENHEART PILES  1043 LIN FT LEN GTHS - 27' - 39' FREIGHT COLLECT ALL LOCA L CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,GS FOREST RESOURCES INC.,08/26/2014,2014,22910,10414,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM CONSTANZA,Jamaica,ORANGE ENDS,"OF DELAWARE 218 SCHANCK ROAD, FREEH OLD NJ 07728 USA TEL:7323036049 FAX :7323036075",20 BEL AIR PROMENADE PRASHAD NAGAR GUYANA TEL:592 218 0085/ 626 7493 F AX:592 218 0054,7728,1,ZCSU8995426,4500,30,PCS,0,CF,ZIMUGTG07707, , ,29E,CTA302101 ZZCK52201,ISRAEL, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,GS Forest Resources,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GREENHEART PILES GREENHEART PILES,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,DURABLE WOOD PRODUCTS ENT.,08/08/2014,2014,41200,18727,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM RIO GRANDE,Jamaica,WGM PO#8246 POG WGM PO# 8246 POG,"OF DELAWARE 218 SCHANCK ROAD, PO BO X 6309 FREEHOLD NEW JERSEY 07728 US A",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,7728,2,TCKU9352071 CAIU8253970,4500 4500,46,PCS,0,CF,ZIMUGTG07625, , ,55E,CTA301371 ZZCK51411 CTA301370 ZZCK51410,MALTA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,Durable Wood Products Enterprises,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
FILE: 70252 CONTRAT: FSC14-17 1-100% 500 PIECES SOIT 20 C OLIS DEBITES AZOBE (LOPHIRA AL ATA) FSC 100% AD BESC: N 8550 2 DECL. N E 9705 DU 10/06/ 14 HS CODE: 4407293808 FRET PAYABLE A DESTINATION FILE: 70252 CONTRAT: FSC14-17 1-100% 500 PIECES SOIT 20 C OLIS DEBITES AZOBE (LOPHIRA AL ATA) FSC 100% AD BESC: N 8550 2 DECL. N E 9705 DU 10/06/ 14 HS CODE: 4407293808 FRET PAYABLE A DESTINATION,"WILLIAM G. MOORE & SON, INC. OF DEL",WILLIAM G. MOORE & SON INC,GETMA CAMEROUN/DOUALA,08/01/2014,2014,78039,35472,Algeciras,"New York/Newark Area, Newark, New Jersey",MAERSK PITTSBURGH,Spain,"'SUPPLIER CERTIFIES THAT THE COVER B OARDS, SPACER STICKS AND BLOCKS ARE THE SAME SPECIES AS THE LUMBER BEING SHIPPED. THEY ARE PART OF THE LUMBE R SHIPEMNT, SUBJECT TO APHIS INSPECT ION AND ARE EXEMPT WPM RULE' + SERVI CE CONTRACT 681021 'SUPPLIER CERTIFIES THAT THE COVER B OARDS, SPACER STICKS AND BLOCKS ARE THE SAME SPECIES AS THE LUMBER BEING SHIPPED. THEY ARE PART OF THE LUMBE R SHIPEMNT, SUBJECT TO APHIS INSPECT ION AND ARE EXEMPT WPM RULE' + SERVI CE CONTRACT 681021",PO BOX 6309 NJ 07728 FREEHOLD 1-7323036049 TEL EX 1-732303 60,FOR ACCOUNT CFK SA BP. 1616 DOUALA - CAMEROUN 237-33428022 TEL EX 237-3342 33,7728,2,MSKU5013942 MSKU5207505,2CB0 2CB0,20,BDL,32180,CM,SAFM563682481, , ,1408,CM0111080 CM0116313,UNITED STATES, ,SAFM,SAFMARINE CONTAINER LINES (HEREINAFTER SAFMARINE),MADISON,NJ,07940-0880,GIRALDA FARMS #2 MADISON AVE PO BOX 880,"WILLIAM G. MOORE & SON, INC. OF DEL",PO BOX 6309 NJ 07728 FREEHOLD 1-7323036049 TEL EX 1-732303 60,DOUALA,Getma Cameroun Douala,Cameroon,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ROUND GREENHEART PILES  927 LIN FT LENG THS 25' - 39' FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S AC COUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,GS FOREST RESOURCES INC.,07/31/2014,2014,21820,9918,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM LUANDA,Jamaica,ORANGE ENDS,"OF DELAWARE 218 SCHANCK ROAD, PO BO X 6309 FREEHOLD NEW JERSEY 07728 US A TEL:732-303-6049 FAX:732-303-607","20 BEL AIR PROMENADE PRASHAD NAGAR, GUYANA TEL:592 218 0085/ 626 7493 FAX:592 218 0054",7728,1,FSCU6547720,4500,28,PCS,0,CF,ZIMUGTG07603, , ,38E,CTA300827 ZZCK50490,MALTA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,GS Forest Resources,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ROUGH SAWN GREENHEART 3 X 8 TO 6 X 6 16 - TO 20- FREIGHT COLLECT ALL LOCAL CHARGE S AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,TOOLSIE PERSAUD LIMITED,07/03/2014,2014,21930,9968,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM CONSTANZA,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BO X 6309 FREEHOLD NJ 07728 USA",LOT 1-4 AND 10-12 LOMBARD STREET G EORGETOWN GUYANA,7728,1,TCNU8888927,4500,151,PCS,0,CF,ZIMUGTG07496, , ,28E,CTA298181 ZZCK65238,ISRAEL, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,Toolsie Persaud Limited/Interior Forest Industrie,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GREENHEART PILES GREENHEART PILES GREENHEART PILES GREENHEART PILES,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,DURABLE WOOD PRODUCTS ENT.,06/20/2014,2014,74930,34059,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM RIO GRANDE,Jamaica,WGM 8250 WGM 8250 WGM 8250 WGM 8250,"218 SCHANCK ROAD, PO. BOX 6309 FREE HOLD NEW JERSEY 07728 USA",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,7728,4,ZCSU2572387 ZCSU8479076 ZCSU2585131 ZCSU8925265,4200 4500 4200 4500,85,PCS,0,CF,ZIMUGTG07422, , ,54E,CTA293358 ZZCK51977 CTA293356 ZZCK51978 CTA293357 ZZCK51981 CTA293355 ZZCK51988,MALTA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,Durable Wood Products Enterprises,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
(15 PIECES GREENHEART PILES) (10 PIECES GREENHEART LUMBER R/SAWN) FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CON SIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,DURABLE WOOD PRODUCTS ENT.,06/01/2014,2014,10410,4732,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM TEXAS,Jamaica,WGM 8236,"OF DELAWARE 218 SCHANCK ROAD, PO. B OX 6309 FREEHOLD NEW JERSEY 07728 U SA",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,7728,1,ZCSU8641192,4500,25,PCS,0,CF,ZIMUGTG07361, , ,26E,CTA291911 ZZCK60523,MARSHALL ISLANDS, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,Durable Wood Products Enterprises,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ROUGH SAWN GREENHEART 3 X 8 - 12' TO 20 ' FREIGHT COLLECT ALL LOCAL CHARGES AT DE STINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,TOOLSIE PERSAUD LIMITED,06/01/2014,2014,24960,11345,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM TEXAS,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, FREEH OLD NJ 07728 USA",LOT 1-4 10-12 LOMBARD STREET GEORG ETOWN GUYANA,7728,1,ZCSU8096776,4500,276,PCS,0,CF,ZIMUGTG07388, , ,26E,CTA291995 ZZCK60561,MARSHALL ISLANDS, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,Toolsie Persaud Limited/Interior Forest Industrie,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GREENHEART PILES FREIGHT COLLECT ALL LOC AL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,DURABLE WOOD PRODUCTS ENT.,04/27/2014,2014,20430,9286,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM LUANDA,Jamaica,WGM 8218,"OF DELAWARE 218 SCHANCK ROAD, PO BO X 6309 FREEHOLD NEW JERSEY 07728 US A",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,7728,1,AMFU8954966,4500,25,PCS,0,CF,ZIMUGTG07245, , ,36E,CTA288141 ZZCK57353,MALTA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,Durable Wood Products Enterprises,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
